title,link,publication_time,author,image_url,summary
Cara Dapat Layanan Gratis Bulky Waste DKI Jakarta Beserta Lokasinya,https://megapolitan.kompas.com/read/2025/09/15/11110541/cara-dapat-layanan-gratis-bulky-waste-dki-jakarta-beserta-lokasinya,2025-09-15T04:11:05+00:00,Kompas Cyber Media,"https://asset.kompas.com/crops/FxwQimObRc38nT4sOkDsBk5tGZg=/0x31:1080x751/780x390/filters:watermark(data/photo/2020/03/10/5e6775ae18c31.png,0,-0,1)/data/photo/2025/09/15/68c78ff7c7c5f.jpg",Pemprov DKI Jakarta melalui Dinas Lingkungan Hidup meluncurkan layanan gratis Bulky Waste untuk mempermudah warga membuang sampah berukuran besar.
"Kisah SBY Lunasi Utang IMF 4 Tahun Lebih Cepat, Tak Ingin Rakyat Indonesia Tersandera",https://www.kompas.com/tren/read/2025/09/15/110000265/kisah-sby-lunasi-utang-imf-4-tahun-lebih-cepat-tak-ingin-rakyat-indonesia?source=terpopuler,2025-09-15T04:00:00+00:00,Kompas Cyber Media,"https://asset.kompas.com/crops/QEDsw5DjDPC_Y9nT4eZf8J7EJaA=/0x0:1200x800/780x390/filters:watermark(data/photo/2020/03/10/5e6775d554370.png,0,-0,1)/data/photo/2025/09/12/68c3dee2402ec.jpg","Kisah SBY LUNASI utang IMF 9,1 miliar dollar AS empat tahun lebih cepat agar rakyat Indonesia tak lagi tersandera."
Polisi Tangkap Maling dan Penadah Motor Curian di Tanah Abang,https://megapolitan.kompas.com/read/2025/09/15/11153881/polisi-tangkap-maling-dan-penadah-motor-curian-di-tanah-abang,2025-09-15T04:15:38+00:00,Kompas Cyber Media,"https://asset.kompas.com/crops/iYde4YOsTNkVGzrkdwYz3AEKaws=/0x0:1000x667/780x390/filters:watermark(data/photo/2020/03/10/5e6775ae18c31.png,0,-0,1)/data/photo/2022/02/21/62137975da13b.jpg","Polisi menangkap pelaku R (26), yang berperan sebagai pencuri, dan M (39), sebagai penadah motor hasil curian."
"Turnamen Sumo Musim Gugur 2025 Digelar di Tokyo, Catat Jadwal dan Lokasinya",https://ohayojepang.kompas.com/read/4585/turnamen-sumo-musim-gugur-2025-digelar-di-tokyo-catat-jadwal-dan-lokasinya,Tidak ada waktu,Kompas Cyber Media,https://asset.kompas.com/data/photo/2025/01/19/678cfe7d83c0d.jpg,"Turnamen Sumo Musim Gugur 2025 atau Aki Basho akan digelar 14–28 September di Ryōgoku Kokugikan, Tokyo. Ajang ini bukan hanya pertunjukan olahraga, tapi juga tradisi budaya Jepang, lengkap dengan ritual dohyō-iri, tabur garam, hingga penobatan juara di hari terakhir senshūraku."
"BERITA FOTO: Unisba dan Unpas Ditembaki Gas Air Mata, Puluhan Proyektil Berserakan",https://bandung.kompas.com/read/2025/09/02/092442478/berita-foto-unisba-dan-unpas-ditembaki-gas-air-mata-puluhan-proyektil,2025-09-02T02:24:42+00:00,Kompas Cyber Media,"https://asset.kompas.com/crops/9HVTOzvmTDNvNmk4gE5OHKwcAEY=/250x0:1599x899/780x390/filters:watermark(data/photo/2020/03/10/5e6775ae18c31.png,0,-0,1)/data/photo/2025/09/02/68b6534c8b3fd.jpeg","Tembakan gas air mata menyasar lingkungan kampus Unpas dan Unisba Bandung, memicu kepanikan mahasiswa dan meninggalkan puluhan proyektil berserakan."
"Tunjangan DPRD Kaltim Tembus Rp52,2 Miliar, Ketua Dewan: Enggak Etis Nanya Tunjangan",https://regional.kompas.com/read/2025/09/15/110914978/tunjangan-dprd-kaltim-tembus-rp522-miliar-ketua-dewan-enggak-etis-nanya,2025-09-15T04:09:14+00:00,Kompas Cyber Media,"https://asset.kompas.com/crops/ngrkylUCkW0H7dyxkCCBXY9kEPw=/0x0:0x0/780x390/filters:watermark(data/photo/2020/03/10/5e6775ae18c31.png,0,-0,1)/data/photo/2025/09/15/68c78e41d1523.jpg","Pemerintah Provinsi Kalimantan Timur menetapkan alokasi belanja gaji dan tunjangan bagi 55 anggota DPRD sebesar Rp52,2 miliar, meningkat Rp 2 miliar."
"Jangan Colokkan Mesin Cuci ke Kabel Ekstensi, Ahli Ingatkan Bahayanya",https://www.kompas.com/homey/read/2025/09/15/111712176/jangan-colokkan-mesin-cuci-ke-kabel-ekstensi-ahli-ingatkan-bahayanya,2025-09-15T04:17:12+00:00,Kompas Cyber Media,"https://asset.kompas.com/crops/pyQmydQBkS4jmmqNfdOLN5e23RE=/0x0:1000x667/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2022/11/24/637f3648987b8.jpg","Ahli kelistrikan mengingatkan bahwa tidak semua peralatan aman dicolokkan ke kabel ekstensi, salah satunya adalah mesin cuci."
Israel Kembali Hancurkan Gedung-gedung Tinggi di Kota Gaza,https://video.kompas.com/watch/1875930/israel-kembali-hancurkan-gedung-gedung-tinggi-di-kota-gaza?source=KOMPASCOM&position=wp_terkini__carousel_player_1,2025-09-15T03:16:35+00:00,Kompas Cyber Media,https://assets-studiohub.kompas.com/video2019/73f614858444241bddf143/bbce92955b5905eabb7ab0b1e17fc17f/bbce92955b5905eabb7ab0b1e17fc17f.jpg,Israel Kembali Hancurkan Gedung-gedung di Gaza
"1.195 Kebakaran Terjadi di Jakarta, 267 Dipadamkan Warga",https://megapolitan.kompas.com/read/2025/09/15/11460361/1195-kebakaran-terjadi-di-jakarta-267-dipadamkan-warga,2025-09-15T04:46:03+00:00,Kompas Cyber Media,"https://asset.kompas.com/crops/pgdqSx8V7ZobUkjV7cvR6mtQv4k=/1164x165:3526x1739/780x390/filters:watermark(data/photo/2020/03/10/5e6775ae18c31.png,0,-0,1)/data/photo/2025/09/15/68c785d5bb5e8.jpeg","Gubernur DKI Jakarta Pramono Anung melaporkan 1.195 kebakaran terjadi sepanjang tahun 2025, ajak masyarakat lebih waspada!"
Kolom Munir Sara - Kompas.com,https://kolom.kompas.com/4252/Munir-Sara?source=kolom,Tidak ada waktu,Kompas Cyber Media,https://asset.kompas.com/crops/nKN-vvlI_G9FrHxlYWxKI4Y3cwU=/0x0:0x0/1070x710/left/top/data/photo/profile/63ed860d86661.jpg,"Ikuti update terkini perjalanan pemikiran, gagasan, perspektif, dan diskursus bersama kolumnis Munir Sara di Kompas.com"
