title,link,publication_time,author,image_url,summary
"Prediksi Skor PSV Eindhoven vs Union Saint-Gilloise, Selasa 16 September 2025",https://www.liputan6.com/bola/read/6159468/prediksi-skor-psv-eindhoven-vs-union-saint-gilloise-selasa-16-september-2025,2025-09-15T12:12:24+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/-jj2OU1fGpqrwWWsDcw1Nomws-o=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5138668/original/001692400_1740036016-AP25050841182217.jpg,PSV akan memulai perjalanan mereka di fase liga musim ini dengan menjamu debutan Union SG.
"Alfamidi Buka Lowongan Kerja untuk Lulusan SMA/SMK hingga S1, Cek di Sini",https://www.liputan6.com/bisnis/read/6158048/alfamidi-buka-lowongan-kerja-untuk-lulusan-smasmk-hingga-s1-cek-di-sini,2025-09-15T07:00:04+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/wZl3OVijoJrmRLeAi-OfRgUUq2U=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/4290681/original/026227000_1673607863-banner-top.jpg,Alfamidi tengah membuka lowongan kerja bagi Anda yang tertarik bekerja di industri retail modern. Lowongan kerja ini terbuka untuk lulusan SMA/SMK hingga S1.
Cek Fakta: Tidak Benar Dalam Video Ini Kerusuhan di Kalimalang Bekasi,https://www.liputan6.com/cek-fakta/read/6159312/cek-fakta-tidak-benar-dalam-video-ini-kerusuhan-di-kalimalang-bekasi,2025-09-15T11:00:26+07:00,Liputan6.com,https://cdn0-production-images-kly.akamaized.net/axWDDpO3vfQmFWKHUcpjod-MYpk=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5348881/original/040039400_1757905051-Cek_Fakta_Tidak_Benar_Ini_Link_Pendaftaran__97_.jpg,"Cek Fakta Liputan6.com menelusuri klaim video kerusuhan di Kalimalang Bekasi, bagaimana faktanya? Simak artikel berikut ini."
"Arne Slot Buka Suara Soal Pergantian Alexis Mac Allister Saat Liverpool Lawan Burnley, Ini Alasannya",https://www.liputan6.com/bola/read/6159189/arne-slot-buka-suara-soal-pergantian-alexis-mac-allister-saat-liverpool-lawan-burnley-ini-alasannya,2025-09-15T02:05:50+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/rzHgmN6ec2NJLEUg3NzmqOixMRs=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5348714/original/082796600_1757861526-alexis_mac_allister_tekel_burnley_liverpool_ap_jon_super.jpg,Arne Slot jelaskan alasan menarik keluar Alexis Mac Allister di laga Burnley vs Liverpool. Bukan hanya soal tekel keras yang ia terima.
Seorang Polisi Dipukul Pengendara Motor di Gunung Sahari: Tak Terima Diberhentikan Lantaran Ugal-ugalan,https://www.liputan6.com/news/read/6159301/seorang-polisi-dipukul-pengendara-motor-di-gunung-sahari-tak-terima-diberhentikan-lantaran-ugal-ugalan,2025-09-15T09:45:48+07:00,Liputan6.com,https://cdn0-production-images-kly.akamaized.net/6T1MBSQd-S_6KlsAfr2BVnFLiBA=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5222487/original/082632400_1747397353-IMG_0718.jpeg,"Seorang anggota Polri berinisial R menjadi korban penganiayaan oleh pengendara motor ugal-ugalan yang tidak mengenakan helm di kawasan Gunung Sahari, Jakarta Pusat."
"Harga Emas Antam 15 September 2025 Turun, Cek Rinciannya di Sini!",https://www.liputan6.com/bisnis/read/6159279/harga-emas-antam-15-september-2025-turun-cek-rinciannya-di-sini,2025-09-15T09:15:11+07:00,Liputan6.com,https://cdn0-production-images-kly.akamaized.net/1UJbbzvhgfjAA-CjBxqD1CZIIE8=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/3352150/original/028984100_1610959709-20210118-Emas-Antam-4.jpg,"Pada Senin (15/9/2025), harga emas Antam turun Rp 2.000. Demikian untuk harga emas untuk pembelian kembali (buyback) juga turun Rp 2.000."
Pengakuan Claresta Taufan Syuting Film Maryam: Janji dan Jiwa Yang Terikat: Ini Pengalaman Paling Horor,https://www.liputan6.com/showbiz/read/6159467/pengakuan-claresta-taufan-syuting-film-maryam-janji-dan-jiwa-yang-terikat-ini-pengalaman-paling-horor,2025-09-15T12:10:59+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/wDiqwpbmTTGdYHdZeitQ9foyByQ=/1x197:1080x805/1200x675/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5349121/original/032978500_1757913008-Clares_1.jpg,Aktris Claresta Taufan menyebut syuting film Maryam: Janji dan Jiwa yang Terikat menguras fisik maupun mental. Menurutnya ini syuting paling horor.
"Macet Horor TB Simatupang, Kendaraan Masuk Jakarta Bakal Diatur",https://www.liputan6.com/bisnis/read/6159535/macet-horor-tb-simatupang-kendaraan-masuk-jakarta-bakal-diatur,2025-09-15T13:15:01+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/xx0VLVXVm2x4CJPpFgJcfAiy9kU=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5322139/original/061118600_1755696232-0L5A9292.JPG,"Kemenhub buka suara soal macet horor di kawasan TB Simatupang, Jakarta Selatan imbas adanya pekerjaan galian."
Isak Tangis Iringi Pemakaman 7 Korban Kecelakaan Maut Bus di Bromo,https://www.liputan6.com/regional/read/6159289/isak-tangis-iringi-pemakaman-7-korban-kecelakaan-maut-bus-di-bromo,2025-09-15T09:29:35+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/nYGhbkw13cMg1PJ70AZSVpnRG5s=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5348840/original/040761900_1757903351-Untitled.jpg,"Kecelakaan maut bus pariwisata yang terjadi di lereng Gunung Bromo tepatnya di Jalan Raya Bromo, Kabupaten Probolinggo, itu menyisakan duka mendalam."
"Fakta Baru Penyiksaan Anak di Kebayoran Lama, Ayah Juna Ternyata Perempuan dan Penyuka Sesama Jenis",https://www.liputan6.com/news/read/6159527/fakta-baru-penyiksaan-anak-di-kebayoran-lama-ayah-juna-ternyata-perempuan-dan-penyuka-sesama-jenis,2025-09-15T12:53:09+07:00,Liputan6.com,https://cdn0-production-images-kly.akamaized.net/wS7nq-aa5DVD2vWVLyp8v6LksK4=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5345365/original/015558000_1757561091-7fc24477-3f83-4c0e-96fa-e28a34c62819.jpeg,Polisi mengungkap fakta baru. EF ternyata bukanlah seorang pria melainkan perempuan. Ibu kandung korban yang berinisial SNK (42) ternyata pasangan sesama jenis.
Kampung Nelayan Merah Putih Tawarkan 7.000 Lapangan Kerja Baru,https://www.liputan6.com/bisnis/read/6159485/kampung-nelayan-merah-putih-tawarkan-7000-lapangan-kerja-baru,2025-09-15T12:30:52+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/hIz7TCn6y0BtVJAaMcoA0ojqZOo=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/4067783/original/029462700_1656506950-Hari-Nelayan-Internasional-Iqbal-6.jpg,Kampung Nelayan Merah Putih mampu menciptakan 7.000 lapangan kerja permanen dan 20.000 lapangan kerja temporer di seluruh lokasi pembangunan.
"6 Hoaks Sepekan, dari Bantuan sampai Kerusuhan di Nepal",https://www.liputan6.com/cek-fakta/read/6158993/6-hoaks-sepekan-dari-bantuan-sampai-kerusuhan-di-nepal,2025-09-14T18:00:37+07:00,Liputan6.com,https://cdn0-production-images-kly.akamaized.net/leOEYxF9L_sADQdz9z6RmJBCX7Y=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5346604/original/018741400_1757639454-Cek_Fakta_Tidak_Benar_Ini_Link_Pendaftaran__95_.jpg,Cek Fakta Liputan6.com kembali merilis daftar 6 hoaks yang beredar sepekan terakhir. Kenali modus-modus penipuan terbaru seperti klaim SIM seumur hidup hingga tautan bansos palsu agar tidak menjadi korban.
PM Baru Nepal Bertekad Menjawab Aspirasi Gen Z: Dari Anti Korupsi hingga Kesetaraan Ekonomi,https://www.liputan6.com/global/read/6159126/pm-baru-nepal-bertekad-menjawab-aspirasi-gen-z-dari-anti-korupsi-hingga-kesetaraan-ekonomi,2025-09-15T08:01:00+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/WoLIn6_JUyebmr0LEi9r4XtaQ78=/57x0:637x327/1200x675/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5348201/original/083875700_1757791000-Untitled.jpg,"Karki dilantik dalam sebuah upacara sederhana. Sosoknya, yang dikenal tegas melawan korupsi, diusung oleh Gen Z."
"Momen Bahagia Sri Mulyani, Anaknya Sah Jadi Dokter Spesialis Penyakit Dalam",https://www.liputan6.com/health/read/6159516/momen-bahagia-sri-mulyani-anaknya-sah-jadi-dokter-spesialis-penyakit-dalam,2025-09-15T12:50:42+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/FssIprxg7Nck3muTOpV2xNXiqXE=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5349190/original/085465100_1757915211-SnapInsta.to_548146392_18400089535142333_7093686888173485358_n.jpg,"Anak nomor dua Sri Mulyani yakni Adwin Haryo Indrawan telah menyelesaikan pendidikan dokter spesialis penyakit dalam. Adwin lulus dari FKUI Jakarta pada Sabtu, 13 September 2025."
"MU Alami Start Buruk, Ruben Amorim Ngotot Tidak Mau Ubah Skema Tiga Bek",https://www.liputan6.com/bola/read/6159480/mu-alami-start-buruk-ruben-amorim-ngotot-tidak-mau-ubah-skema-tiga-bek,2025-09-15T12:18:34+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/TJTxdRblkquerHbH6xI45Ch4hBc=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5318299/original/043479800_1755455567-AP25229613561732.jpg,Ruben Amorim menegaskan bahwa ia lebih memilih mundur daripada ubah gaya bermain.
Cek Fakta: Tidak Benar di Video Ini Sri Mulyani Sowan ke Solo Usai Reshuffle Kabinet,https://www.liputan6.com/cek-fakta/read/6159410/cek-fakta-tidak-benar-di-video-ini-sri-mulyani-sowan-ke-solo-usai-reshuffle-kabinet,2025-09-15T13:07:17+07:00,Liputan6.com,https://cdn0-production-images-kly.akamaized.net/NbEXON71AsHFdABDS-NSzIltSB4=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5349152/original/010651000_1757914232-sri_mulyani_1.jpg,Cek Fakta Liputan6.com menelusuri unggahan klaim video Sri Mulyani ke Solo usai reshuffle kabinet.
"Prediksi Skor Juventus vs Borussia Dortmund, Rabu 17 September 2025",https://www.liputan6.com/bola/read/6159534/prediksi-skor-juventus-vs-borussia-dortmund-rabu-17-september-2025,2025-09-15T13:02:51+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/KAlJkVA34XXQg8eSHrzl5-4hdcQ=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5348217/original/023747500_1757803800-AP25256710850102.jpg,Kedua tim datang dengan modal kemenangan akhir pekan lalu.
VIDEO: Koordinator Indonesia Global Peace Convoy Memastikan akan Tetap Berangkat ke Gaza | Enamplus,https://enamplus.liputan6.com/tv/read/6158976/video-koordinator-indonesia-global-peace-convoy-memastikan-akan-tetap-berangkat-ke-gaza,Tidak ada waktu,Didi N,https://cdn0-production-images-kly.akamaized.net/cimZxTG60Qr8cv5LX3EI6gx348o=/500x0/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/thumbnails/5348607/original/027859800_1757839953-perjuangan-relawan-menembus-gaza-liputan-6-ab6e85.jpg,"Koordinator Relawan Indonesia, Muhammad Husein memastikan dirinya akan tetap berlayar usai menyatakan tim relawan Indonesia menarik diri dalam misi kemanusiaan Global Sumud Flotilla."
Ini Isi Lengkap Video Pencapaian Pemerintahan Prabowo yang Tayang di Bioskop,https://www.liputan6.com/news/read/6159484/ini-isi-lengkap-video-pencapaian-pemerintahan-prabowo-yang-tayang-di-bioskop,2025-09-15T12:30:00+07:00,Liputan6.com,https://cdn0-production-images-kly.akamaized.net/DAZPrsFXl0Wsdp-BJnLKHlr83TY=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5127193/original/066317800_1739160234-IMG-20250210-WA0017.jpg,Pemutaran video yang menampilkan Presiden Prabowo Subianto menjelaskan capaian pemerintah sebelum penayangan film di bioskop menjadi perbincangan warga di platform media sosial. Hal ini menuai berbagai reaksi.
"Tasya Farasya Pamit Dari Medsos Usai Diterpa Isu Gugat Cerai Ahmad Assegaf, Ada Apa?",https://www.liputan6.com/showbiz/read/6159428/tasya-farasya-pamit-dari-medsos-usai-diterpa-isu-gugat-cerai-ahmad-assegaf-ada-apa,2025-09-15T11:39:51+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/Jxwom9iSZ0iHRW4cgwLNEuZcJKQ=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5349074/original/029617800_1757910992-ClipDown.com_530271119_741875655379311_6921487219669672555_n.jpg,"Isu selebgram Tasya Farasya gugat cerai suami, Ahmad Assegaf, viral di medsos. Kabar ini kali pertama mencuat di Twitter atau X, Sabtu, 13 September 2025."
Truk Pengangkut Minuman Soda Terperosok ke Sinkhole di Meksiko,https://www.liputan6.com/global/read/6159443/truk-pengangkut-minuman-soda-terperosok-ke-sinkhole-di-meksiko,2025-09-15T12:04:13+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/ou0_n2f-z1bV_LvIpJxomya8RFk=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5349081/original/047682400_1757911564-Screenshot_2025-09-15_114402.jpg,Apa penyebab truk ini bisa terperosok masuk ke dalam lubang besar di Meksiko?
Demo Gen Z Antarkan Sushila Karki Jadi PM Perempuan Pertama Nepal,https://www.liputan6.com/global/read/6158700/demo-gen-z-antarkan-sushila-karki-jadi-pm-perempuan-pertama-nepal,2025-09-14T07:02:00+07:00,Liputan6.com,https://cdn1-production-images-kly.akamaized.net/WoLIn6_JUyebmr0LEi9r4XtaQ78=/57x0:637x327/1200x675/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/5348201/original/083875700_1757791000-Untitled.jpg,"Bagaimana Karki, seorang perempuan paruh baya, dapat terpilih menjadi perdana menteri sementara Nepal?"
