"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1967492680528859556","Mon Sep 15 07:43:09 +0000 2025","0","Akgae exo nct aespa red velvet tuh banyak banget dan banyak yang rese","1967494380492824773","","sasmevlac","in","","0","0","0","https://x.com/undefined/status/1967494380492824773","397967930",
"1967489353132962040","Mon Sep 15 07:40:25 +0000 2025","0","10. karina aespa dan liz ive 11. semua nyaman sih tapi untuk sekarang ya yang dipake sekarang 12. GATAU ANJING. 8 KALI 13. DORAEMON 14. gatau anjir aku bukan bapaknya. tapi mungkin contol nandini 15. @artggx","1967493695030415609","","clxudynight","in","","0","1","0","https://x.com/undefined/status/1967493695030415609","1435957173159268365",
"1967462350115541003","Mon Sep 15 07:36:48 +0000 2025","0","@roblox_fess awalnya aku kayak kamu tapi akhirnya aku bikin ava tinggi jg xixixi pict pemanis gitar aespa. Thanks to kak @spprkle yang sudah memberi aku saran dan arahan buat beli ava tinggi https://t.co/QGFuyQN8ei","1967492783343890911","https://pbs.twimg.com/media/G03wNZ_acAEkdHw.jpg","roblox_fess","in","","0","0","0","https://x.com/undefined/status/1967492783343890911","708486472140075008",
"1965961987768348693","Mon Sep 15 07:36:19 +0000 2025","0","@BagelMleux Kamu kan mau jadi member aespa jg? ","1967492659964174449","","BagelMleux","in","","0","0","0","https://x.com/undefined/status/1967492659964174449","2757526235",
"1967492512769310884","Mon Sep 15 07:35:43 +0000 2025","0","Open Rent Sewa HP Iphone 13 15 Promax Iphone 16 Pro dan Samsung S24 Ultra &amp; S25 ULTRA KONSER LUAR NEGERI THE BOYZ MAHER ZEIN EAJ KOREAN STAR XPERIENCE RICH BRIAN KANG YUCHAN ATEEZ AESPA NCT WISH COD VANUE https://t.co/U40OYB1m5w","1967492512769310884","https://pbs.twimg.com/media/G03wA2qbsAAcNkE.jpg","","in","","0","0","0","https://x.com/undefined/status/1967492512769310884","1537109487366336513",
"1967491323080130568","Mon Sep 15 07:31:00 +0000 2025","0","emang maksa banget oyy para haters nih bilang aespa jadi national embarrassment tuhhh","1967491323080130568","","","in","","0","2","0","https://x.com/undefined/status/1967491323080130568","1427861139661070338",
"1967491134277759258","Mon Sep 15 07:30:15 +0000 2025","0","Habis berburu item gratis AESPA di Roblox.","1967491134277759258","","","in","","0","3","0","https://x.com/undefined/status/1967491134277759258","895158340703186948",
"1967490831696421077","Mon Sep 15 07:29:03 +0000 2025","0","ini yg pegang aespa nya sndiri gak sih? lg online tu jamet satu https://t.co/6NWD07Kpuo","1967490831696421077","https://pbs.twimg.com/media/G03uenva4AA6tTF.jpg","","in","","0","0","0","https://x.com/undefined/status/1967490831696421077","1313188132523712513",
"1967193636409582066","Mon Sep 15 07:28:39 +0000 2025","0","@twentyone84 Kalo nggak mau dijelekin ya jangan bawa member lain dong biar apa kek gitu? biar member aespa yg lain di katain worst dance najis banget dah","1967490732786405626","","twentyone84","in","","0","0","0","https://x.com/undefined/status/1967490732786405626","1290192925666578432",
"1967489977530638617","Mon Sep 15 07:25:39 +0000 2025","0","p open joki antartika legend sung dm aku ya kak @aespa_official","1967489977530638617","","","in","","0","0","0","https://x.com/undefined/status/1967489977530638617","1371076874466562048",
"1967489692770910346","Mon Sep 15 07:24:31 +0000 2025","0","dah ku bilang balikin lg vibes aespa dramamamama","1967489692770910346","","","in","","0","0","0","https://x.com/undefined/status/1967489692770910346","1208710888317845506",
"1967440459619590477","Mon Sep 15 07:24:30 +0000 2025","0","@nayaaeri_ maklum lah ya subfandom sebelah kan kalo kaga bawa member aespa yg lain meriang sebadan-badan ","1967489686471106565","","nayaaeri_","in","","0","0","0","https://x.com/undefined/status/1967489686471106565","1290192925666578432",
"1967489538735124629","Mon Sep 15 07:23:54 +0000 2025","1","ini orang yang bikin ratusan ribu lembar dokumen buat hate aespa &amp; SM idol ??? btw dokumen nya kok gak di bahas lagi ??? udah hilang atau tiba2 ngilang ?","1967489538735124629","","","in","","0","0","0","https://x.com/undefined/status/1967489538735124629","2731843650",
"1967485992497279049","Mon Sep 15 07:21:07 +0000 2025","0","@muivhiro nnti ak yg gantiin karina tenang aja aku member gelap aespa","1967488837556518923","","muivhiro","in","","0","0","0","https://x.com/undefined/status/1967488837556518923","1797931772862418944",
"1967488051883741667","Mon Sep 15 07:18:00 +0000 2025","0","Wta gitar aespa udh gbs d dapetin lg kah guys?","1967488051883741667","","","in","","0","0","0","https://x.com/undefined/status/1967488051883741667","1529902415989788672",
"1967466881742438789","Mon Sep 15 07:13:53 +0000 2025","0","@mdnightflower Ada sesuatu ni kayaknya gue rasa mau meredam aespa Roblok kali ya? Atau gue curiganya emang pengalihan isu biasanya juga kena hate sih tapi ini gerudukan","1967487015445991440","","mdnightflower","in","","0","0","0","https://x.com/undefined/status/1967487015445991440","1517035387046477824",
"1967426237426815394","Mon Sep 15 07:11:07 +0000 2025","0","@eskadons Maaf ya emang aespa sering pake sempak jadi baju ","1967486320458211798","","eskadons","in","","0","0","0","https://x.com/undefined/status/1967486320458211798","1212289047940358146",
"1967486008095818105","Mon Sep 15 07:09:53 +0000 2025","0","Spreading hatred to aespa and calling it an embarrassment shame on you. Kek lu bisa aja ngedance kaya mereka. Sampai segitunya nyari video yg menurut mereka dancenya ga oke. Gtau effort yg udh diusahain si idol dan yg ada di belakang layar. Berpendapat boleh menghina jangan","1967486008095818105","","","in","","0","1","0","https://x.com/undefined/status/1967486008095818105","622637132",
"1967484875944124888","Mon Sep 15 07:05:23 +0000 2025","0","si dedek udah dapet malah gakeliatan gitar aespa nya https://t.co/4ZpRiKBR5G","1967484875944124888","https://pbs.twimg.com/media/G03pDReacAAJj2k.jpg","","in","","0","1","0","https://x.com/undefined/status/1967484875944124888","135785644",
